results,reviews,rating,countyState,fips,Arating,tax_rating,satisfaction/dollar,Market value
50,173,4.34,"Long County, GA",13183,8.0613,787,97.6269336211281,7.9
50,163,4.33,"Valencia County, NM",35061,8.02685,809,100.78673452226,7.9
50,171,4.34,"Meade County, KY",21163,8.0613,823,102.092714574572,7.9
50,180,4.34,"Morgan County, IN",18109,8.0613,887,110.031880714029,7.9
12,17,4.38,"Iosco County, MI",26069,8.1991,1121,136.722323181813,7.9
50,130,4.43,"Marion County, FL",12083,8.37135,1319,157.561205779235,7.9
50,627,4.44,"Lee County, TX",48287,8.4058,1336,158.937876228319,7.9
7,11,4.43,"Sheridan County, WY",56033,8.37135,1336,159.591941562592,7.9
50,135,4.45,"Dearborn County, IN",18029,8.44025,1407,166.701223304997,7.9
50,283,4.57,"Henrico County, VA",51087,8.85365,1804,203.757772218238,7.9
50,117,4.26,"Walker County, AL",1127,7.7857,253,32.4954724687568,7.8
